date,daily_pnl,trades,avg_size,value,classification
2024-02-05,-33.45419400000003,72,10697.198055555556,60.0,Greed
2024-02-06,-215.615907,1088,7396.280707720588,64.0,Greed
2024-02-07,241.24212,15,450.582,62.0,Greed
2024-02-08,770.756024,10,2605.112,66.0,Greed
2024-02-11,983.443176,34,6244.465294117647,71.0,Greed
2024-02-12,913.8817869999998,16,14202.981249999999,70.0,Greed
2024-02-13,559.44389,14,142.85642857142858,79.0,Extreme Greed
2024-02-14,3830.599833,111,2890.4493693693694,74.0,Greed
2024-02-15,1840.797677,63,2939.4926984126987,72.0,Greed
2024-02-16,5491.768834,182,3103.826978021978,72.0,Greed
2024-02-17,1929.6418,94,4320.405,76.0,Extreme Greed
2024-02-18,477.6248299999999,97,1619.0532989690723,72.0,Greed
2024-02-19,4317.768563,101,2835.417821782178,75.0,Extreme Greed
2024-02-20,3263.628824,39,3062.0441025641026,72.0,Greed
2024-02-21,1858.7985700000002,22,4911.250909090909,78.0,Extreme Greed
2024-02-22,3894.1050699999996,88,4239.02125,74.0,Greed
2024-02-23,1418.55293,143,776.966013986014,76.0,Extreme Greed
2024-02-25,-30.7705,5,896.0260000000001,74.0,Greed
2024-02-26,4416.8473,39,4927.875384615385,72.0,Greed
2024-02-27,888.511733,63,3323.2111111111108,79.0,Extreme Greed
2024-02-28,2503.747235,45,3802.380666666667,82.0,Extreme Greed
2024-02-29,9813.996992,116,3410.9200862068965,80.0,Extreme Greed
2024-03-01,8244.241409,137,3452.370072992701,80.0,Extreme Greed
2024-03-02,230.90060000000005,31,2038.6309677419354,80.0,Extreme Greed
2024-03-03,8361.086245,79,4946.1478481012655,83.0,Extreme Greed
2024-03-04,27799.775742,300,5259.989566666667,82.0,Extreme Greed
2024-03-05,19791.026041,180,4676.724,90.0,Extreme Greed
2024-03-06,6814.825139,82,3990.4636585365856,75.0,Extreme Greed
2024-03-08,4271.886236,67,2740.047462686567,81.0,Extreme Greed
2024-03-09,9949.501624,117,5625.459401709401,84.0,Extreme Greed
2024-03-10,2482.9272,42,5237.472619047619,79.0,Extreme Greed
2024-03-11,3588.179495,42,4202.844047619047,82.0,Extreme Greed
2024-03-12,3039.166,8,12880.10625,81.0,Extreme Greed
2024-03-13,0.0,7,857.2571428571428,81.0,Extreme Greed
2024-03-14,3465.865832,18,11440.732222222221,88.0,Extreme Greed
2024-03-15,6236.513651,62,5675.71629032258,83.0,Extreme Greed
2024-03-16,228.57984,8,4652.9575,81.0,Extreme Greed
2024-03-17,503.293955,23,4326.389130434783,79.0,Extreme Greed
2024-03-18,1456.9577,19,4760.951578947369,77.0,Extreme Greed
2024-03-19,668.797973,24,9161.868333333334,79.0,Extreme Greed
2024-03-20,6423.134599,69,3126.171739130435,74.0,Greed
2024-03-21,2335.5080749999997,28,4210.556071428572,78.0,Extreme Greed
2024-03-24,1297.018477,19,4873.274210526315,74.0,Greed
2024-03-25,1302.916428,7,8159.4742857142855,75.0,Extreme Greed
2024-03-26,3215.906593,118,1682.7558474576272,81.0,Extreme Greed
2024-03-27,150.41114,38,2628.020789473684,83.0,Extreme Greed
2024-03-28,227.85100799999998,13,2717.209230769231,80.0,Extreme Greed
2024-03-29,883.097404,15,5794.291333333333,79.0,Extreme Greed
2024-03-30,1100.57514,45,2246.753777777778,75.0,Extreme Greed
2024-03-31,912.786145,13,3070.2276923076925,75.0,Extreme Greed
2024-04-01,2507.963406,77,4408.7074025974025,79.0,Extreme Greed
2024-04-02,883.760812,41,5845.475853658536,79.0,Extreme Greed
2024-04-03,126.7884,4,4221.8925,71.0,Greed
2024-04-04,0.0,32,2999.6165625,70.0,Greed
2024-04-05,10706.484306,100,5037.918,79.0,Extreme Greed
2024-04-06,236.33513399999998,16,4263.979375,75.0,Extreme Greed
2024-04-07,0.0,23,2173.397391304348,78.0,Extreme Greed
2024-04-08,1218.4267,30,7064.688,76.0,Extreme Greed
2024-04-09,0.0,3,19021.280000000002,80.0,Extreme Greed
2024-04-10,5207.443414,41,8578.926097560974,78.0,Extreme Greed
2024-04-11,389.743164,16,4775.06,76.0,Extreme Greed
2024-04-12,-592.6458390000001,129,3427.0433333333335,79.0,Extreme Greed
2024-04-13,6621.451755,89,5465.294943820225,72.0,Greed
2024-04-14,-36104.012520000004,107,6160.394112149533,72.0,Greed
2024-04-15,3774.08872,41,7100.272926829269,74.0,Greed
2024-04-16,2467.702221,47,3870.3653191489366,65.0,Greed
2024-04-17,2441.4683999999997,14,6968.785000000001,67.0,Greed
2024-04-19,1946.4454620000001,35,9635.940571428573,66.0,Greed
2024-04-20,0.0,22,2760.601818181818,66.0,Greed
2024-04-22,0.0,9,5332.623333333333,73.0,Greed
2024-04-23,1119.536196,66,3531.1348484848486,71.0,Greed
2024-04-24,279.185907,20,7063.762,72.0,Greed
2024-04-25,0.0,74,1624.8785135135136,72.0,Greed
2024-04-26,0.0,3,1662.7633333333335,70.0,Greed
2024-04-27,4281.488139,27,5713.498888888889,67.0,Greed
2024-04-28,0.0,58,758.3724137931034,65.0,Greed
2024-04-29,526.9338359999999,45,2415.5335555555553,67.0,Greed
2024-04-30,0.0,24,5209.114583333333,67.0,Greed
2024-05-01,0.0,14,6216.103571428571,54.0,Neutral
2024-05-03,5306.017045,36,7852.295833333333,48.0,Neutral
2024-05-04,0.0,9,6555.416666666667,67.0,Greed
2024-05-05,0.916,6,4011.391666666667,69.0,Greed
2024-05-06,968.59038,9,22890.714444444442,71.0,Greed
2024-05-07,883.537693,18,6039.865555555556,68.0,Greed
2024-05-08,1.56576,13,5074.89,64.0,Greed
2024-05-09,1147.595856,28,7927.361428571428,55.0,Greed
2024-05-10,2101.741695,22,7131.0,66.0,Greed
2024-05-11,251.604742,9,7027.661111111111,53.0,Neutral
2024-05-12,0.0,23,2399.111304347826,56.0,Greed
2024-05-13,2136.853859,28,6897.103571428571,57.0,Greed
2024-05-14,1150.5233050000002,23,6341.452173913043,66.0,Greed
2024-05-15,948.970582,36,6525.626944444444,64.0,Greed
2024-05-16,214.5898,27,6022.998518518518,70.0,Greed
2024-05-18,3522.3946610000003,25,5052.1256,73.0,Greed
2024-05-19,0.0,8,3749.76125,72.0,Greed
2024-05-20,-74.818442,10,3812.475,70.0,Greed
2024-05-21,7289.397571999999,125,8807.588720000002,76.0,Extreme Greed
2024-05-22,0.0,6,7499.215,76.0,Extreme Greed
2024-05-23,413.347329,325,1236.4633846153845,76.0,Extreme Greed
2024-05-24,821.949278,2,25405.949999999997,74.0,Greed
2024-05-25,14.126038999999999,16,1874.4456249999998,76.0,Extreme Greed
2024-05-26,778.6839,16,3373.541875,75.0,Extreme Greed
2024-05-27,1129.35587,251,602.0546613545816,74.0,Greed
2024-05-29,277.791953,164,513.8339024390243,72.0,Greed
2024-05-30,20.951433,7,405.4414285714286,73.0,Greed
2024-05-31,25.35812,13,279.70307692307694,73.0,Greed
2024-06-01,91.510419,25,513.3848,72.0,Greed
2024-06-02,192.906947,93,316.822688172043,73.0,Greed
2024-06-03,562.808208,70,306.66942857142857,73.0,Greed
2024-06-04,52.211438,53,457.42283018867926,73.0,Greed
2024-06-05,56.055506,54,469.4587037037037,75.0,Extreme Greed
2024-06-06,274.173187,234,587.8536752136753,78.0,Extreme Greed
2024-06-07,8902.467416,440,2496.7926363636366,77.0,Extreme Greed
2024-06-08,129.13883900000002,29,3356.961379310345,72.0,Greed
2024-06-09,0.0,17,1318.2482352941176,75.0,Extreme Greed
2024-06-10,31.266804999999998,53,879.0175471698113,72.0,Greed
2024-06-11,4320.631811,123,3034.7960975609753,74.0,Greed
2024-06-12,-21886.531493,254,761.4486614173228,72.0,Greed
2024-06-13,6632.757115,79,1678.1926582278481,70.0,Greed
2024-06-14,10258.592609,31,4511.892258064517,74.0,Greed
2024-06-15,3369.958346,78,9209.61858974359,74.0,Greed
2024-06-16,0.0,11,2294.0981818181817,71.0,Greed
2024-06-17,10599.502375,38,9694.213684210526,71.0,Greed
2024-06-18,282.57636,25,10532.5916,74.0,Greed
2024-06-19,4887.656944,61,6837.231475409836,64.0,Greed
2024-06-20,57478.456026,39,5333.097435897435,60.0,Greed
2024-06-21,773.5582039999999,80,2203.306125,63.0,Greed
2024-06-22,756.876565,24,7066.427916666667,53.0,Neutral
2024-06-23,0.0,5,358.424,55.0,Greed
2024-06-24,0.0,31,13000.090322580645,51.0,Neutral
2024-06-25,4869.353105,49,2104.062857142857,30.0,Fear
2024-06-26,4197.732182,72,5072.092500000001,46.0,Neutral
2024-06-27,0.0,30,4349.565,40.0,Fear
2024-06-29,6150.326145,75,3734.6014666666665,30.0,Fear
2024-06-30,0.0,14,2180.049285714286,47.0,Neutral
2024-07-01,5065.839308,64,5666.721093749999,53.0,Neutral
2024-07-02,2421.253116,18,1852.6372222222224,51.0,Neutral
2024-07-03,1118.387284,18,9977.814444444444,50.0,Neutral
2024-07-04,0.0,25,17222.720400000002,44.0,Fear
2024-07-05,0.0,32,8509.0590625,29.0,Fear
2024-07-06,108.87217799999999,24,103.75708333333334,26.0,Fear
2024-07-07,61.428942,10,49.875,29.0,Fear
2024-07-08,0.0,1,497.64,28.0,Fear
2024-07-09,648.984412,15,182.42999999999998,27.0,Fear
2024-07-10,11977.734907,56,12283.93232142857,28.0,Fear
2024-07-11,1876.812082,19,8941.422105263156,29.0,Fear
2024-07-12,1412.314654,19,4714.893157894737,25.0,Fear
2024-07-13,2913.617837,17,8187.599411764706,25.0,Fear
2024-07-14,0.0,7,12000.16142857143,33.0,Fear
2024-07-15,-1.0,26,7628.6480769230775,52.0,Neutral
2024-07-16,0.0,22,6545.480454545454,65.0,Greed
2024-07-17,1859.269477,351,1783.4915384615385,69.0,Greed
2024-07-18,3803.884311,60,10828.414166666666,61.0,Greed
2024-07-19,2155.891114,23,6533.453043478262,60.0,Greed
2024-07-20,2299.169566,266,918.65492481203,74.0,Greed
2024-07-21,-2960.716887,448,523.0077232142856,74.0,Greed
2024-07-22,1517.119876,154,1975.4142857142856,70.0,Greed
2024-07-23,89890.302206,370,968.9906486486486,71.0,Greed
2024-07-24,625.561479,90,768.977,69.0,Greed
2024-07-25,916.7382600000001,78,6776.350128205129,68.0,Greed
2024-07-26,2766.513113,152,3609.1292763157894,68.0,Greed
2024-07-27,6400.623656,57,15880.697368421053,72.0,Greed
2024-07-28,587.29903,16,2703.4175,71.0,Greed
2024-07-29,330.80445399999996,39,8389.72153846154,74.0,Greed
2024-07-30,0.0,6,6001.078333333334,67.0,Greed
2024-07-31,765.690884,43,1965.2683720930231,61.0,Greed
2024-08-01,167.080017,57,3996.044385964912,52.0,Neutral
2024-08-02,782.3681909999999,63,6290.799523809524,57.0,Greed
2024-08-03,464.1897,37,7852.239459459459,37.0,Fear
2024-08-04,-122672.000883,127,9509.795826771655,34.0,Fear
2024-08-05,-13013.665169,80,5256.1925,26.0,Fear
2024-08-06,267.318048,107,574.5642990654205,17.0,Extreme Fear
2024-08-07,188.789255,33,75.53848484848484,29.0,Fear
2024-08-08,-40.712216999999995,9,1811.038888888889,20.0,Extreme Fear
2024-08-09,18082.071276,144,3494.4781944444444,48.0,Neutral
2024-08-10,0.0,88,128.8555681818182,40.0,Fear
2024-08-11,847.7766200000001,24,1842.9254166666667,39.0,Fear
2024-08-12,858.6705000000001,48,1128.4858333333334,25.0,Fear
2024-08-13,212.08102,23,904.2552173913043,31.0,Fear
2024-08-14,2168.9015130000003,25,2668.4012,30.0,Fear
2024-08-15,0.0,12,126.86416666666668,29.0,Fear
2024-08-16,825.230544,35,4753.795428571429,27.0,Fear
2024-08-17,-288.283113,30,1008.2986666666667,25.0,Fear
2024-08-18,307.201888,15,4186.965333333334,31.0,Fear
2024-08-19,339.69958299999996,8,12539.37875,28.0,Fear
2024-08-20,192.602844,12,4159.566666666667,30.0,Fear
2024-08-21,656.200925,145,724.0717931034483,26.0,Fear
2024-08-23,1005.30527,10,6350.956,34.0,Fear
2024-08-24,0.0,7,4999.952857142857,56.0,Greed
2024-08-25,0.0,17,1291.1929411764704,54.0,Neutral
2024-08-26,231.236918,6,15435.211666666668,55.0,Greed
2024-08-27,0.0,50,1405.0032,48.0,Neutral
2024-08-28,1333.359645,9,7906.674444444444,30.0,Fear
2024-08-29,0.0,1,9995.85,29.0,Fear
2024-08-30,256.464,6,6205.54,34.0,Fear
2024-08-31,10.882801,34,3161.983235294118,29.0,Fear
2024-09-01,137.433093,12,1029.9733333333334,26.0,Fear
2024-09-02,0.0,2,15000.21,26.0,Fear
2024-09-04,1065.785132,34,3867.0873529411765,27.0,Fear
2024-09-05,0.0,1,0.84,29.0,Fear
2024-09-06,-1104.856765,42,929.6928571428571,22.0,Extreme Fear
2024-09-08,0.0,1,0.11,29.0,Fear
2024-09-09,0.0,2,2007.2150000000001,26.0,Fear
2024-09-10,-219.729659,3,849.0933333333334,33.0,Fear
2024-09-11,0.0,1,0.54,37.0,Fear
2024-09-14,0.0,11,92.25454545454546,50.0,Neutral
2024-09-18,-878.684794,145,94.02413793103449,45.0,Neutral
2024-09-19,0.0,19,80.09842105263158,49.0,Neutral
2024-09-20,9585.03428,16,20804.58625,54.0,Neutral
2024-09-21,36165.56933,23,7202.092173913044,54.0,Neutral
2024-09-22,0.0,3,6666.579999999999,52.0,Neutral
2024-09-23,334.760796,2,20167.145,50.0,Neutral
2024-09-24,0.0,10,711.863,54.0,Neutral
2024-09-25,0.0,9,5861.570000000001,59.0,Greed
2024-09-26,439.812513,8,14213.991250000001,50.0,Neutral
2024-09-27,0.0,56,2251.732857142857,61.0,Greed
2024-09-28,0.0,4,7299.8025,64.0,Greed
2024-09-30,2710.626288,106,2025.1872641509435,61.0,Greed
2024-10-01,0.0,4,34988.58,50.0,Neutral
2024-10-02,0.0,4,24988.585,42.0,Fear
2024-10-03,100.375782,9,14770.632222222222,37.0,Fear
2024-10-04,0.0,1,0.34,41.0,Fear
2024-10-05,5767.161892,37,16367.722702702702,49.0,Neutral
2024-10-06,130.487079,22,13642.298181818182,50.0,Neutral
2024-10-07,0.0,21,10475.459523809524,50.0,Neutral
2024-10-08,5396.546638,36,12071.781388888889,49.0,Neutral
2024-10-09,396.06272,14,15742.852142857142,49.0,Neutral
2024-10-10,0.0,16,18751.521249999998,39.0,Fear
2024-10-11,8885.327477,26,18804.007307692307,32.0,Fear
2024-10-12,541.55471,10,15971.34,49.0,Neutral
2024-10-13,0.0,10,6000.242,50.0,Neutral
2024-10-14,1913.61958,5,12383.204000000002,48.0,Neutral
2024-10-15,1170.2260760000001,7,11596.194285714286,65.0,Greed
2024-10-16,219.480876,11,7293.560909090909,73.0,Greed
2024-10-17,36.11496,9,15614.638888888889,71.0,Greed
2024-10-18,333.219141,6,20055.238333333335,73.0,Greed
2024-10-19,0.0,4,24999.215,72.0,Greed
2024-10-20,389.155797,96,1837.9985416666668,73.0,Greed
2024-10-21,2464.915564,173,1873.5143930635838,72.0,Greed
2024-10-22,0.0,3,20000.12,70.0,Greed
2024-10-23,-46.489941,18,11667.003888888888,71.0,Greed
2024-10-25,13235.862071,30,14262.772666666666,72.0,Greed
2024-10-26,42471.99413,6,14778.143333333333,,
2024-10-27,666.6623079999999,4,22666.1025,74.0,Greed
2024-10-28,167.28016200000002,13,9345.788461538461,72.0,Greed
2024-10-29,801.170876,53,11571.09075471698,72.0,Greed
2024-10-30,9.150023,25,473.23400000000004,77.0,Extreme Greed
2024-10-31,1214.043811,48,18670.278333333332,77.0,Extreme Greed
2024-11-01,1040.475736,23,11347.001304347827,75.0,Extreme Greed
2024-11-02,0.0,2,20000.0,72.0,Greed
2024-11-03,0.0,6,21509.27666666667,74.0,Greed
2024-11-04,2799.410474,36,12550.332499999999,70.0,Greed
2024-11-05,678.4759280000001,10,20062.723,70.0,Greed
2024-11-06,2817.83723,15,8260.46,70.0,Greed
2024-11-07,4493.353136,113,985.2681415929204,77.0,Extreme Greed
2024-11-08,-64.41354100000007,39,6941.036923076923,75.0,Extreme Greed
2024-11-09,102.90894,86,2248.655930232558,75.0,Extreme Greed
2024-11-10,991.114334,173,2390.963583815029,78.0,Extreme Greed
2024-11-11,6749.630996,373,4210.649919571046,76.0,Extreme Greed
2024-11-12,3494.399394,171,7171.663859649123,80.0,Extreme Greed
2024-11-13,7846.402274,48,10736.174375,84.0,Extreme Greed
2024-11-14,4563.509225,110,9166.925545454545,88.0,Extreme Greed
2024-11-15,4140.740438,149,9582.942416107382,80.0,Extreme Greed
2024-11-16,2769.521909,157,1931.822101910828,86.0,Extreme Greed
2024-11-17,882.975285,209,5818.122344497608,90.0,Extreme Greed
2024-11-18,4470.815187,346,6024.102832369942,83.0,Extreme Greed
2024-11-19,2958.268991,305,2059.118524590164,90.0,Extreme Greed
2024-11-20,4210.0928969999995,550,3635.480218181818,83.0,Extreme Greed
2024-11-21,1692.430891,535,1118.3189158878504,82.0,Extreme Greed
2024-11-22,-18105.345617,679,2425.2041531664213,94.0,Extreme Greed
2024-11-23,2901.531638,363,1422.1644077134986,93.0,Extreme Greed
2024-11-24,945.550386,172,3866.001627906977,80.0,Extreme Greed
2024-11-25,5523.740734,255,3676.1210588235294,82.0,Extreme Greed
2024-11-26,1094.809359,302,3797.6901986754965,79.0,Extreme Greed
2024-11-27,-2654.495633,213,6780.481361502348,75.0,Extreme Greed
2024-11-28,-127075.39958499999,332,5705.497439759036,77.0,Extreme Greed
2024-11-29,176844.994152,393,2021.0252162849874,78.0,Extreme Greed
2024-11-30,37316.69352,373,4643.950938337802,84.0,Extreme Greed
2024-12-01,40886.364494,416,1958.441875,81.0,Extreme Greed
2024-12-02,18489.604313,270,2167.568740740741,80.0,Extreme Greed
2024-12-03,23576.539285,374,2900.177887700535,76.0,Extreme Greed
2024-12-04,292891.815021,319,2411.5600313479626,78.0,Extreme Greed
2024-12-05,71574.11848800001,456,2756.0324342105264,84.0,Extreme Greed
2024-12-06,-92624.643895,403,8612.950918114144,72.0,Greed
2024-12-07,85906.279067,304,1485.965197368421,75.0,Extreme Greed
2024-12-08,15965.933436,420,2221.2850476190474,79.0,Extreme Greed
2024-12-09,6310.967676,539,1825.5096103896105,78.0,Extreme Greed
2024-12-10,39325.770231,1596,1973.94992481203,78.0,Extreme Greed
2024-12-11,319051.554217,1221,1796.9683292383293,74.0,Greed
2024-12-12,599151.795008,1932,2358.7939285714288,83.0,Extreme Greed
2024-12-13,31935.901745,1173,2455.9459846547315,76.0,Extreme Greed
2024-12-14,167801.399244,1235,1918.6735060728743,83.0,Extreme Greed
2024-12-15,97525.315279,1697,1522.256812021214,80.0,Extreme Greed
2024-12-16,166774.344133,1055,2597.9231943127966,83.0,Extreme Greed
2024-12-17,219591.305172,1941,2696.3408706852138,87.0,Extreme Greed
2024-12-18,13682.994673,1429,2658.423421973408,81.0,Extreme Greed
2024-12-19,62744.004486000005,3339,2468.316678646301,75.0,Extreme Greed
2024-12-20,254969.660039,2488,3087.3290635048234,74.0,Greed
2024-12-21,150022.163157,1681,2607.302272456871,73.0,Greed
2024-12-22,352197.163973,774,3988.7858139534887,73.0,Greed
2024-12-23,-29430.626577,2347,2885.333728163613,70.0,Greed
2024-12-24,14813.780116,338,5227.917485207101,73.0,Greed
2024-12-25,756.6570469999998,208,1672.5449519230767,73.0,Greed
2024-12-26,60228.639722,697,3163.9062410329984,79.0,Extreme Greed
2024-12-27,2672.811035,260,1338.126923076923,74.0,Greed
2024-12-28,940.673623,161,1748.7888819875777,72.0,Greed
2024-12-29,2884.067927,201,1714.5698507462685,73.0,Greed
2024-12-30,9009.738137,304,3532.453059210526,65.0,Greed
2024-12-31,5445.01281,306,2866.551045751634,64.0,Greed
2025-01-01,-9528.065345,96,2943.5635416666664,66.0,Greed
2025-01-02,8716.519087,361,2145.9136842105263,70.0,Greed
2025-01-03,6028.486793,508,1518.1279330708662,74.0,Greed
2025-01-04,2553.537968,371,4921.912722371967,73.0,Greed
2025-01-05,3187.719363,239,1890.977280334728,72.0,Greed
2025-01-06,6064.185393,573,971.2512914485166,76.0,Extreme Greed
2025-01-07,16098.227531,637,2061.504081632653,78.0,Extreme Greed
2025-01-08,130117.090554,1039,3058.0126852743024,70.0,Greed
2025-01-09,46975.928902,522,1955.427681992337,69.0,Greed
2025-01-10,-10116.875552,819,7994.444053724053,50.0,Neutral
2025-01-11,2269.080536,283,5859.006042402827,69.0,Greed
2025-01-12,5742.241803,602,3751.59330564784,62.0,Greed
2025-01-13,9655.429352,408,7197.666691176471,61.0,Greed
2025-01-14,16069.512355,275,3187.5708,63.0,Greed
2025-01-15,14819.5883,267,6747.565131086143,70.0,Greed
2025-01-16,20807.709328,371,8220.196657681941,75.0,Extreme Greed
2025-01-17,7006.415608,238,4664.8338655462185,75.0,Extreme Greed
2025-01-18,443.2330819999997,651,4165.330076804916,77.0,Extreme Greed
2025-01-19,87923.799302,1567,6199.8821314613915,77.0,Extreme Greed
2025-01-20,87277.239173,1315,6302.149817490495,76.0,Extreme Greed
2025-01-21,11077.839421,530,2874.961924528302,76.0,Extreme Greed
2025-01-22,20524.408057,832,2137.5077283653845,84.0,Extreme Greed
2025-01-23,101256.24216,1218,3035.3273070607556,75.0,Extreme Greed
2025-01-24,10602.779738,874,1843.7453661327231,75.0,Extreme Greed
2025-01-25,-10348.016255999999,506,2449.363043478261,75.0,Extreme Greed
2025-01-26,40823.466668,451,2663.3562305986693,73.0,Greed
2025-01-27,41331.765392,773,1950.8775032341528,71.0,Greed
2025-01-28,17979.613973,498,1163.4782530120483,72.0,Greed
2025-01-29,23421.01147,910,2085.1795714285713,72.0,Greed
2025-01-30,23097.471385,1067,2825.114498594189,70.0,Greed
2025-01-31,35868.296773,1016,2739.578228346457,76.0,Extreme Greed
2025-02-01,32300.205017,634,2151.019621451104,68.0,Greed
2025-02-02,162854.759623,1319,4291.957763457164,60.0,Greed
2025-02-03,348871.326269,2380,9492.815701680673,44.0,Fear
2025-02-04,416876.88812,2512,6241.404964171974,72.0,Greed
2025-02-05,56706.235562,1297,6741.1191287586735,54.0,Neutral
2025-02-06,33803.799733,1703,1655.0257604227834,49.0,Neutral
2025-02-07,22450.002091,1524,2270.5141338582675,44.0,Fear
2025-02-08,586.703253,575,1460.4086434782607,44.0,Fear
2025-02-09,150551.829492,764,3823.19332460733,46.0,Neutral
2025-02-10,63908.49465,889,4077.5685489313837,43.0,Fear
2025-02-11,-6093.784817,848,3298.990766509434,47.0,Neutral
2025-02-12,19848.635032,1031,4019.3739476236665,46.0,Neutral
2025-02-13,27829.534238,1370,2335.6585474452554,50.0,Neutral
2025-02-14,213860.675308,1655,2421.210525679758,48.0,Neutral
2025-02-15,45042.92701,932,1837.8250536480687,50.0,Neutral
2025-02-16,2369.478425,681,1183.8144493392072,54.0,Neutral
2025-02-17,1818.573295,941,2158.3896280552603,51.0,Neutral
2025-02-18,91204.672403,1676,2011.413293556086,47.0,Neutral
2025-02-19,14985.794701,1361,2398.185334313005,44.0,Fear
2025-02-20,46008.794102,2012,2300.5016351888667,49.0,Neutral
2025-02-21,119693.49395,1873,2120.747399893219,55.0,Greed
2025-02-22,25278.704178,686,4629.111078717201,49.0,Neutral
2025-02-23,10656.934251,520,2194.8283461538463,50.0,Neutral
2025-02-24,38470.176242,5616,1998.5077617521367,49.0,Neutral
2025-02-25,204762.177034,6246,3108.3868651937237,25.0,Fear
2025-02-26,63229.063129,1176,4206.597049319727,21.0,Extreme Fear
2025-02-27,-36525.167517,890,2247.0768876404495,10.0,Extreme Fear
2025-02-28,225628.108748,1019,4046.7721000981355,16.0,Extreme Fear
2025-03-01,10596.108968,174,1516.230632183908,20.0,Extreme Fear
2025-03-02,66914.320708,532,12144.452518796992,26.0,Fear
2025-03-03,616413.032233,1482,5563.151403508772,33.0,Fear
2025-03-04,182075.566585,2402,4631.24360949209,15.0,Extreme Fear
2025-03-05,269328.365917,1660,5538.345915662651,20.0,Extreme Fear
2025-03-06,16101.125561,760,8901.743368421052,25.0,Fear
2025-03-07,150236.061627,2552,7779.888510971787,34.0,Fear
2025-03-08,24700.773359,529,1686.3582419659735,28.0,Fear
2025-03-09,19773.457395,1422,7327.495070323488,27.0,Fear
2025-03-10,-10010.027269999999,2911,5775.263029886637,20.0,Extreme Fear
2025-03-11,-76880.729036,3286,4265.657970176507,24.0,Extreme Fear
2025-03-12,288105.984215,3968,4692.071358366935,34.0,Fear
2025-03-13,14114.870873,962,3415.375488565489,45.0,Neutral
2025-03-14,68646.160089,2210,3641.261158371041,27.0,Fear
2025-03-15,78694.624572,261,9025.86030651341,46.0,Neutral
2025-03-16,-7910.943544999999,530,19222.49341509434,30.0,Fear
2025-03-17,26163.906513,920,3905.320706521739,32.0,Fear
